Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
OnePlus One,OnePlus,One,3100,5.5,Yes,1080,1920,4,3000,16,13,5,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,21999,$299 ,14-Apr,398.2381,5.987050068
Samsung Galaxy S5,Samsung,Galaxy S5,2800,5.1,Yes,1080,1920,8,2000,16,16,2,Android,Yes,Yes,Yes,1,Yes,Yes,33999,$650 ,14-Apr,865.735,6.763578857
Lava Iris Pro 20,Lava,Iris Pro 20,2000,4.7,Yes,540,960,4,1000,4,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,5040,$175 ,14-Apr,233.0825,5.451392468
Xiaomi Mi 4,Xiaomi,Mi 4,3080,5,Yes,1080,1920,4,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,No,7987,$320 ,14-Aug,426.208,6.05492749
Lenovo Vibe Z2 Pro,Lenovo,Vibe Z2 Pro,4000,6,Yes,1440,2560,4,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,29999,$500 ,14-Aug,665.95,6.501214593
Xolo 8X-1000,Xolo,8X-1000,1920,5,Yes,720,1280,8,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,5499,$200 ,14-Aug,266.38,5.584923861
Spice Stellar 520,Spice,Stellar 520,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,4999,$150 ,14-Aug,199.785,5.297241788
Xiaomi Redmi 1S,Xiaomi,Redmi 1S,2000,4.7,Yes,720,1280,4,1000,8,8,1.6,Android,Yes,Yes,Yes,2,Yes,No,5999,$100 ,14-Aug,133.19,4.89177668
Xolo Play 8X-1100,Xolo,Play 8X-1100,2100,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5888,$240 ,14-Aug,319.656,5.767245418
Yu Yureka,Yu,reka,2500,5.5,Yes,720,1280,8,2000,16,13,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,3999,$140 ,14-Dec,186.466,5.228248917
Honor 6 Plus,Honor,6 Plus,3600,5.5,Yes,1080,1920,8,3000,32,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,26499,$400 ,14-Dec,532.76,6.278071041
Lava Iris Fuel 60,Lava,Iris Fuel 60,4000,5,Yes,720,1280,4,1000,8,10,2,Android,Yes,Yes,Yes,2,Yes,No,4299,$130 ,14-Dec,173.147,5.154140945
Vivo Y15,Vivo,Y15,1900,4.5,Yes,480,854,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,6539,$150 ,14-Dec,199.785,5.297241788
Micromax Canvas Selfie,Micromax,Canvas Selfie,2300,4.7,Yes,720,1280,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,No,13895,$250 ,14-Dec,332.975,5.808067412
BlackBerry Classic,BlackBerry,Classic,2515,3.5,Yes,720,720,2,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,No,13899,$450 ,14-Dec,599.355,6.395854077
Intex Aqua Power,Intex,Aqua Power,4000,5,Yes,480,854,8,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,4500,$130 ,14-Dec,173.147,5.154140945
Sony Xperia Z2,Sony,Xperia Z2,3200,5.2,Yes,1080,1920,4,3000,16,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,35990,$600 ,14-Feb,799.14,6.683536149
Nokia X Dual SIM,Nokia,X Dual SIM,1500,4,Yes,480,800,2,512,4,3,0,Cyanogen,Yes,Yes,Yes,2,Yes,No,7999,$150 ,14-Feb,199.785,5.297241788
Lenovo S660,Lenovo,S660,3000,4.7,Yes,540,960,4,1000,8,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,6700,$230 ,14-Feb,306.337,5.724685803
Gionee Elife S5.5,Gionee,Elife S5.5,2300,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,1,Yes,No,10999,$370 ,14-Feb,492.803,6.2001095
LG G Pro 2,LG,G Pro 2,3200,5.9,Yes,1080,1920,4,3000,16,13,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,42021,$600 ,14-Feb,799.14,6.683536149
Xolo Q1100,Xolo,Q1100,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,13677,$200 ,14-Feb,266.38,5.584923861
Samsung Galaxy Note 3 Neo,Samsung,Galaxy Note 3 Neo,3100,5.5,Yes,720,1280,6,2000,16,8,2,Android,Yes,Yes,Yes,1,Yes,Yes,11250,$500 ,14-Feb,665.95,6.501214593
Sony Xperia Z1 Compact,Sony,Xperia Z1 Compact,2300,4.3,Yes,720,1280,4,2000,16,20.7,2,Android,Yes,Yes,Yes,1,Yes,Yes,11999,$550 ,14-Jan,732.545,6.596524772
Asus ZenFone 6,Asus,ZenFone 6,3300,6,Yes,720,1280,2,2000,16,13,2,Android,Yes,Yes,Yes,2,Yes,No,8891,$300 ,14-Jan,399.57,5.990388969
Micromax Canvas Turbo Mini,Micromax,Canvas Turbo Mini,1800,4.69,Yes,720,1280,4,1000,4,8,5,Android,Yes,Yes,Yes,2,Yes,No,6495,$220 ,14-Jan,293.018,5.680234041
Intex Aqua Octa,Intex,Aqua Octa,2300,6,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,16818,$320 ,14-Jan,426.208,6.05492749
Honor 6,Honor,6,3000,5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999,$300 ,14-Jul,399.57,5.990388969
ZTE V5,ZTE,V5,2400,5,Yes,720,1280,4,1000,4,13,5,Android,Yes,Yes,Yes,2,Yes,No,3399,$150 ,14-Jul,199.785,5.297241788
HTC Desire 616 Dual SIM,HTC,Desire 616 Dual SIM,2000,5,Yes,720,1280,8,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,7999,$250 ,14-Jul,332.975,5.808067412
LG G3 Beat,LG,G3 Beat,2540,5,Yes,720,1280,4,1000,8,8,1.3,Android,Yes,Yes,Yes,1,Yes,Yes,5999,$400 ,14-Jul,532.76,6.278071041
Xolo Win Q900s,Xolo,Win Q900s,1800,4.7,Yes,720,1280,4,1000,8,8,2,Windows,Yes,Yes,Yes,2,Yes,No,4495,$130 ,14-Jul,173.147,5.154140945
Sony Xperia T3,Sony,Xperia T3,2500,5.3,Yes,720,1280,4,1000,8,8,1.1,Android,Yes,Yes,Yes,1,Yes,Yes,18490,$300 ,14-Jul,399.57,5.990388969
Oppo N1 Mini,Oppo,N1 Mini,2140,5,Yes,720,1280,4,2000,16,13,0,Android,Yes,Yes,Yes,1,Yes,Yes,9990,$430 ,14-Jun,572.717,6.350391703
Xolo Q1200,Xolo,Q1200,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,1,Yes,No,13667,$200 ,14-Jun,266.38,5.584923861
Xiaomi Redmi Note,Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,7999,$130 ,14-Mar,173.147,5.154140945
Micromax Canvas Knight,Micromax,Canvas Knight,2350,5,Yes,1080,1920,8,2000,32,16,8,Android,Yes,Yes,Yes,2,Yes,No,5999,$320 ,14-Mar,426.208,6.05492749
HTC Desire 816,HTC,Desire 816,2600,5.5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,27390,$350 ,14-Mar,466.165,6.144539649
LG L90 Dual,LG,L90 Dual,2540,4.7,Yes,540,960,4,1000,8,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,3299,$300 ,14-Mar,399.57,5.990388969
Karbonn Titanium Octane Plus,Karbonn,Titanium Octane Plus,2000,5,Yes,1080,1920,8,2000,16,16,8,Android,Yes,Yes,Yes,2,Yes,No,12494,$230 ,14-Mar,306.337,5.724685803
Lenovo S860,Lenovo,S860,4000,5.3,Yes,720,1280,4,2000,16,8,1.5,Android,Yes,Yes,Yes,2,Yes,No,18748,$350 ,14-Mar,466.165,6.144539649
HTC Desire 310,HTC,Desire 310,2000,4.5,Yes,480,854,4,512,4,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,2699,$170 ,14-Mar,226.423,5.422404931
Panasonic P81,Panasonic,P81,2500,5.5,Yes,720,1280,8,1000,8,13,2,Android,Yes,Yes,Yes,2,Yes,No,11900,$250 ,14-May,332.975,5.808067412
Motorola Moto E,Motorola,Moto E,1980,4.3,Yes,540,960,2,1000,4,5,0,Android,Yes,Yes,Yes,2,Yes,No,4999,$130 ,14-May,173.147,5.154140945
Xolo Q1010i,Xolo,Q1010i,2250,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,13606,$200 ,14-May,266.38,5.584923861
Micromax Unite 2,Micromax,Unite 2,2000,4.7,Yes,480,800,4,1000,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,8999,$110 ,14-May,146.509,4.98708686
Lava Iris X1,Lava,Iris X1,1800,4.5,Yes,480,854,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,3632,$115 ,14-May,153.1685,5.031538623
BlackBerry Z3,BlackBerry,Z3,2500,5,Yes,540,960,2,1000,8,5,1.1,BlackBerry,Yes,Yes,Yes,1,Yes,No,19000,$200 ,14-May,266.38,5.584923861
HTC Desire 820s,HTC,Desire 820s,2600,5.5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,25500,$300 ,14-Nov,399.57,5.990388969
Gionee Marathon M3,Gionee,Marathon M3,5000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,3490,$210 ,14-Nov,279.699,5.633714025
HTC One (M8 Eye),HTC,One (M8 Eye),2600,5,Yes,1080,1920,4,2000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,28500,$500 ,14-Oct,665.95,6.501214593
Google Nexus 6,Motorola,Google Nexus 6,3220,5.96,Yes,1440,2560,4,3000,32,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,13490,$649 ,14-Oct,864.4031,6.762039211
HTC Desire Eye,HTC,Desire Eye,2400,5.2,Yes,1080,1920,4,2000,16,13,13,Android,Yes,Yes,Yes,1,Yes,Yes,10990,$550 ,14-Oct,732.545,6.596524772
Honor 4X,Honor,4X,3000,5.5,Yes,720,1280,4,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,$150 ,14-Oct,199.785,5.297241788
Xolo Q2100,Xolo,Q2100,2800,5.5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,6998,$200 ,14-Oct,266.38,5.584923861
Honor Holly,Honor,Holly,2000,5,Yes,720,1280,4,1000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,5999,$115 ,14-Oct,153.1685,5.031538623
Lenovo Vibe X2,Lenovo,Vibe X2,2300,5,Yes,1080,1920,8,2000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,17499,$399 ,14-Oct,531.4281,6.275567911
iBall Andi 5K Panther,iBall,Andi 5K Panther,1900,5,Yes,540,960,8,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,3199,$150 ,14-Oct,199.785,5.297241788
BlackBerry Passport,BlackBerry,Passport,3450,4.5,Yes,1440,1440,4,3000,32,13,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,15999,$599 ,14-Sep,797.8081,6.681868092
Apple iPhone 6 Plus,Apple,iPhone 6 Plus,2915,5.5,Yes,1080,1920,1,1000,16,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,23999,$749 ,14-Sep,997.5931,6.905345478
Apple iPhone 6,Apple,iPhone 6,1810,4.7,Yes,750,1334,2,1000,16,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,15999,$649 ,14-Sep,864.4031,6.762039211
Motorola Moto X (Gen 2),Motorola,Moto X (Gen 2),2300,5.2,Yes,1080,1920,4,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,23999,$500 ,14-Sep,665.95,6.501214593
Motorola Moto G (Gen 2),Motorola,Moto G (Gen 2),2070,5,Yes,720,1280,4,1000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,13500,$180 ,14-Sep,239.742,5.479563345
Sony Xperia Z3 Compact,Sony,Xperia Z3 Compact,2600,4.6,Yes,720,1280,4,2000,16,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,38990,$530 ,14-Sep,705.907,6.559483501
Samsung Galaxy Note 4,Samsung,Galaxy Note 4,3220,5.7,Yes,1440,2560,4,3000,32,16,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,27900,$700 ,14-Sep,932.33,6.837686829
Samsung Galaxy Note Edge,Samsung,Galaxy Note Edge,3000,5.6,Yes,1600,2560,4,3000,32,16,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,29950,$870 ,14-Sep,1158.753,7.055099706
Micromax Canvas 4 Plus,Micromax,Canvas 4 Plus,2000,5,Yes,720,1280,8,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5490,$200 ,14-Sep,266.38,5.584923861
Micromax Canvas A1,Micromax,Canvas A1,1700,4.5,Yes,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,4795,$105 ,14-Sep,139.8495,4.940566844
Karbonn Sparkle V,Karbonn,Sparkle V,1700,4.5,No,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,2899,$105 ,14-Sep,139.8495,4.940566844
Spice Dream Uno,Spice,Dream Uno,1700,4.5,No,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,7490,$105 ,14-Sep,139.8495,4.940566844
Micromax Canvas Nitro,Micromax,Canvas Nitro,2500,5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,4999,$180 ,14-Sep,239.742,5.479563345
Nokia Lumia 830,Nokia,Lumia 830,2200,5,Yes,720,1280,4,1000,16,10,0.9,Windows,Yes,Yes,Yes,1,Yes,Yes,19999,$450 ,14-Sep,599.355,6.395854077
HTC Desire 820,HTC,Desire 820,2600,5.5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,25999,$330 ,14-Sep,439.527,6.085699149
Samsung Galaxy Alpha,Samsung,Galaxy Alpha,1860,4.7,Yes,720,1280,8,2000,32,12,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,9999,$600 ,14-Sep,799.14,6.683536149
Gionee Elife S5.1,Gionee,Elife S5.1,2050,4.8,Yes,720,1280,8,1000,16,8,5,Android,Yes,Yes,Yes,1,Yes,No,5499,$325 ,14-Sep,432.8675,6.070431677
HTC Desire 816G,HTC,Desire 816G,2600,5.5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,21990,$250 ,14-Sep,332.975,5.808067412
LG G3 Stylus,LG,G3 Stylus,3000,5.5,Yes,540,960,4,1000,8,13,1.3,Android,Yes,Yes,Yes,2,Yes,No,10490,$250 ,14-Sep,332.975,5.808067412
